編號,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
3-73,撈, leu,撈,"摎水餃撈起來放盤仔裡肚
去夜市撈魚仔","把水餃撈起來放盤子裡。
去夜市撈魚。",,動詞,,3外在活動與動作
3-74,利用,li+ rhung+,利用,"愛好好利用時間讀書
佢分人利用還毋知，還戇","要好好利用時間讀書。
他被人利用了還不知道，真笨。",,動詞,,3外在活動與動作
3-75,啉,limˋ,喝,有啉酒个人，做毋得駛車仔,有喝酒的人，不可以開車。,,動詞,,3外在活動與動作
3-76,流,lau / liu,流,天時轉冷，緊流濞,天氣變冷，一直流鼻涕。,,動詞,,3外在活動與動作
3-77,落,logˋ,落下,"天時變化恁大，今年落雹咧
阿婆去菜園落肥","天氣變化很大，今年下冰雹了。
祖母去菜園施肥。",,動詞,,3外在活動與動作
3-78,落去,logˋhiˇ,進去,"便所有人，你做毋得落去
跌落去。
放落去。","廁所有人，你不能進去。
跌進去。
放進去。",,動詞,,3外在活動與動作
3-79,落來,logˋloi,進來,"遽遽落來啊！外背企等做麼个？
落來坐。
拿落來。","快點進來啊！站在外面做什麼？
進來坐。
拿進來。",,動詞,,3外在活動與動作
3-80,來,loi,來,"你幾多點愛來？
你兜先食等來","你幾點要來？
你們先用餐吧。",,動詞,,3外在活動與動作
3-81,來去,loi/loiˋ hiˇ,去,俚來去看電影,我們去看電影。,,動詞,,3外在活動與動作
3-82,熝,lugˋ,燙,阿姆分滾水熝着,媽媽被熱水燙到。,,動詞,,3外在活動與動作
3-83,抺,mi,擦拭,"桌仔當油，愛抺抺啊！
食飽愛抺桌仔","桌子很油，要擦一擦！
吃飽要擦桌子。",,動詞,,3外在活動與動作
3-84,摸,miaˋ,觸摸、觸碰,"你放忒高咧，𠊎連摸就摸毋着
桌面恁垃圾，莫這摸該摸","你放太高了，我連摸都摸不到。
桌面這麼髒，別亂碰。",,動詞,,3外在活動與動作
3-85,磨,mo+,磨,磨豆腐,磨豆腐。,,動詞,,3外在活動與動作
3-86,拿,naˋ,拿,仰恁牛，拿啊着就搞壞忒,怎麼那麼頑皮，剛拿到就弄壞掉。,,動詞,,3外在活動與動作
3-87,揇,namˊ,抱,"厥妹仔驚生份，毋肯人揇
佢數學無考好，揇等被骨噭
阿伯係阿婆去摎人揇來个，毋係自家降个","他女兒很怕生，不肯讓別人抱。
他數學沒考好，抱著棉被哭。
伯伯是祖母抱回來養的，不是親生的。",,動詞,,3外在活動與動作
3-88,咬,ngauˋ,咬,"豬腳愛罅綿，正咬得落
佢還細時節識分狗咬着，所以當驚狗","豬腳要夠爛，才咬得下去。
他還小的時候曾被狗咬，所以很怕狗。",,動詞,,3外在活動與動作
3-89,拈,ngiamˋ,撿,"佢在路町拈着五百個銀
𠊎个東西跌下去咧，你做得摎𠊎拈無？","他在路上撿到五百元。
我的東西掉下去了，你可以幫我撿嗎？",,動詞,,3外在活動與動作
3-90,落去,logˋhiˇ,進去,門無關好，蚊仔會走落去,門沒關好，蚊子會跑進去。,,動詞,,3外在活動與動作
3-91,撚,ngienˊ,擠壓；捏,"撚牙膏
撚雞毋知屎出","擠牙膏。
抓雞時太用力，連雞脫糞快死了都不知道(比喻貪得無厭)。",,動詞,,3外在活動與動作
3-92,扭,ngiuˊ,扭動；扭轉,"扭屎朏
扭腳髀","扭屁股。
擰大腿。",,動詞,,3外在活動與動作
3-93,爬,pa,爬行,地泥當淨，放佢爬無相干,地板很乾淨，讓他爬沒關係。,,動詞,,3外在活動與動作
3-94,划飯,paˋ pon+,把飯撥進嘴裡,為着赴看電視，佢划飯划當遽,為了趕得及看電視，他扒飯扒得很快。,,動詞,,3外在活動與動作
3-95,鼻,pi+   ,聞、嗅,這花鼻起來香香,這花聞起來香香的。,,動詞,,3外在活動與動作
3-96,拍手,pog  shiuˊ,拍手,佢係做來好就愛摎佢拍手,他如果做得好就要為他拍手。,,動詞,,3外在活動與動作
3-97,拍,pog,拍,"拍球仔
拍一齣戲","拍球。
拍一部戲。",,動詞,,3外在活動與動作
3-98,嘔,euˊ,嘔、吐,佢暈船，食落肚个東西嘔淨淨。,他暈船，吃進肚裡的食物吐光光。,,動詞,,3外在活動與動作
3-99,呸,puiˇ,吐掉,食牛眼，核愛呸忒,吃龍眼，籽要吐掉。,,動詞,,3外在活動與動作
3-100,歕,pun,吹,你愛歕較大力兜,你要吹大力一點。,,動詞,,3外在活動與動作
3-101,尋,cim,尋找,"走哪去？歸日尋你毋着
老弟走去間肚囥等又毋出聲，害阿姆尋上尋下","去哪了？整天找不到你。
弟弟去房間裡躲著又不出聲，害媽媽到處找他。",,動詞,,3外在活動與動作
3-102,搶,ciongˊ,搶,成時，賊仔偷東西毋過手就用搶个,有時候，小偷偷東西失手就用搶的。,,動詞,,3外在活動與動作
3-103,晒,saiˇ,晒,"佢用竹篙晒衫褲
恁好天，出來晒日頭","他用竹竿晒衣服。
天氣那麼好，出來晒太陽。",,動詞,,3外在活動與動作
3-104,散步,sanˇpu+,散步,阿公食飽夜就去散步,祖父吃完晚餐就去散步。,,動詞,,3外在活動與動作
3-105,洗,seˊ,洗,"洗水槽
洗水果","洗水槽。
洗水果。",,動詞,,3外在活動與動作
3-106,笑,siauˇ,笑,"你做麼个緊笑？
講該麼个話？會笑死人！","你幹麼一直笑？
說那什麼話？會笑死人！",,動詞,,3外在活動與動作
3-107,使用,siiˊ  rhung+,使用,這焙衫機你知愛仰般使用無?,這烘衣機你知道要怎麼使用嗎？,,動詞,,3外在活動與動作
3-108,梳,soˋ/siiˋ,梳,梳頭那毛,梳頭髮。,,動詞,,3外在活動與動作
3-109,食,shidˋ,吃,"恁多仔定定，你恁多儕分等來食
這水果進口个，當貴食","這麼多而已，你們幾個分著吃。
這水果是進口的，賣得很貴。",,動詞,,3外在活動與動作
3-110,收,shiuˋ,收,"這片就分你收尾
愛考試咧！摎書收起來","這邊讓你收尾。
要考試了！把書收起來。",,動詞,,3外在活動與動作
3-111,䌈,tag,繫、綁,煮飯時節，頭那毛愛䌈起來,煮飯時，頭髮要綁起來。,,動詞,,3外在活動與動作
3-112,聽,tangˋ/tangˇ,聽,"聽啊着就噭咧！
你講麼个？全聽無！","一聽到就哭了！
你說什麼？都聽不懂！",,動詞,,3外在活動與動作
3-113,踢,ted,踢,"踢球仔
老弟踢着桌仔，腳烏青咧","踢球。
弟弟踢到桌子，腳瘀青了。",,動詞,,3外在活動與動作
3-114,跈,ten,跟隨,"跈人毋着
這藥仔愛跈三餐食","跟不上別人。
這藥要隨著三餐吃。",,動詞,,3外在活動與動作
3-115,偷,teuˋ,偷,桌頂个書毋知分麼儕偷走,桌上的書不知道被誰偷走。,,動詞,,3外在活動與動作
3-116,跳,tiauˇ/tiau,跳,"跳索仔
佢緊張到心肝哱哱跳","跳繩。
他緊張到心臟蹦蹦跳。",,動詞,,3外在活動與動作
3-117,脫,tod,脫,衫著忒多，脫忒一領,穿太多衣服，脫掉一件。,,動詞,,3外在活動與動作
3-118,擇,togˋ,挑選,"愛哪隻？你自家擇！
阿明在廳下擇菜","要哪個？你自己挑！
阿明在客廳挑菜。",,動詞,,3外在活動與動作
3-119,袋,toi+,用袋子裝；量詞,"摎這菜袋起來，拿去分叔婆
一袋梨仔","把這菜裝起來，拿去給叔婆。
一袋梨子。",,動詞,數/量詞,3外在活動與動作
3-120,動,tungˋ,動,佢个東西放這片，你斯動毋得哦！,他的東西放這邊，你不能動哦！,,動詞,,3外在活動與動作
3-121,挖,vag /ved/rhad,挖,"緊挖鼻空，會挖到出鼻血哦！
挖空仔
挖開來","一直挖鼻子，會挖到流鼻血哦！
挖洞。
挖開來。",,動詞,,3外在活動與動作
3-122,換,von+,換,搞到溼溚溚，遽去換褲,玩到溼答答，快點去換褲子。,,動詞,,3外在活動與動作
3-123,寫,siaˊ,寫,看恁久，還係寫毋出來,看那麼久，還是寫不出來。,,動詞,,3外在活動與動作
3-124,醒,siangˊ,醒,阿爸睡當晝還吂醒，你去喊佢,爸爸睡午覺還沒睡醒，你去叫他。,,動詞,,3外在活動與動作
3-125,削,siog,削,煮苦瓜毋使削皮,煮苦瓜不用削皮。,,動詞,,3外在活動與動作
3-126,摘,zag,摘,"摘茶
摘菜","摘茶。
摘菜。",,動詞,,3外在活動與動作
3-127,整,zhangˊ,修理,佢个頭路係整自行車,他的工作是修理自行車。,,動詞,,3外在活動與動作
3-128,照顧,zhauˇguˇ,照顧,無人照顧,沒人照顧。,,動詞,,3外在活動與動作
3-129,走,zeuˊ,跑,"講着愛食飯，佢走最遽
走毋贏人","說到要吃飯，他跑最快。
跑不贏別人。",,動詞,,3外在活動與動作
3-130,整理,zhinˊliˋ,整理,間肚整理一下,房間裡面整理一下。,,動詞,,3外在活動與動作
3-131,做,zoˇ,做；儘管,"做頭路
做生理
你做你食，毋怕
你做你講，阿爸分你靠","工作。
做生意。
你儘管吃，沒關係。
你儘管講，爸爸當你靠山。",,動詞,,3外在活動與動作
3-132,捉,zug,抓,"捉魚仔
分𠊎捉着咧！","抓魚。
被我抓到了！",,動詞,,3外在活動與動作
3-133,著,zhog,穿,你个衫著毋著片咧！,你的衣服穿反了！,,動詞,,3外在活動與動作
3-134,轉,zhonˊ,回家,幾下日無轉,好幾天沒回家。,,動詞,,3外在活動與動作
3-135,轉去, zhonˊ hiˇ,回去,鉛筆盒無帶着，佢自家走轉去拿,沒帶鉛筆盒，他自己跑回去拿。,,動詞,,3外在活動與動作
3-136,轉來,zhonˊloi,回來,哪久愛轉來？,何時要回來？,,動詞,,3外在活動與動作
3-137,掌,zhongˊ,看管、看守,"掌牛
掌等電視","看守牛隻。
守著電視。",,動詞,,3外在活動與動作
3-138,張,zhongˋ,盛裝,"張茶食
拿盒仔張等","裝茶喝。
拿盒子裝著。",,動詞,,3外在活動與動作
3-139,煮,zhuˊ,煮,"煮食
煮茶","煮飯。
煮茶。",,動詞,,3外在活動與動作
3-140,準備,zhunˊ pi+,準備,準備好吂？,準備好了嗎？,,動詞,,3外在活動與動作
3-141,種,zhungˇ,種植,"種樹仔
種菜","種樹。
種菜。",,動詞,,3外在活動與動作
3-142,燉,dunˋ,燉,"燉補
燉四物湯","燉補。
燉四物湯。",,動詞,,3外在活動與動作
3-143,喊,hemˋ,喊叫,佢看着老鼠，喊到大嫲聲,他看到老鼠，喊得很大聲。,,動詞,,3外在活動與動作
3-144,舞,muˊ,弄；捉弄,"手機壞忒就換過，莫過舞佢咧。
忒閒係無?舞佢做麼个?","手機壞了就換過，不要再弄它了。
太閒是嗎？捉弄他幹麼？",,動詞,,3外在活動與動作
4-1,變到,bienˇ doˇ,變成,經過一擺車禍，佢嗄變到長短腳。,經歷一次車禍，他竟變成長短腳。,,動詞,,4事物狀態與變化
4-2,出, chud ,出,"熱到緊出汗
冬瓜放到出水
這下尿當出，先去便所","熱到一直出汗。
冬瓜放到出水。
現在正尿急，先去廁所。",,動詞,,4事物狀態與變化
4-3,出現,chud  hien+,出現,罕得看你出現，恁久無閒麼个？,難得看你出現，最近在忙什麼？,,動詞,,4事物狀態與變化
4-4,得着,ded  doˊ,得到、獲得,"得着亞軍
得着好空","得到亞軍。
獲得好處。",,動詞,,4事物狀態與變化
4-5,跌忒,died ted,掉了、遺失,錢無袋好，跌忒咧！,錢沒有放好，掉了！,,動詞,,4事物狀態與變化
4-6,都係,du+ heˇ,都是,"間肚滿哪都係你个衫
這書都係分你个","房間裡到處都是你的衣服。
這書都是給你的。",,動詞,,4事物狀態與變化
4-7,堵着,du  doˊ,遇到；堵塞,"堵着塞車
水分石牯堵着咧，流毋出去","遇到塞車。
水被石頭堵住了，流不出去。",,動詞,,4事物狀態與變化
4-8,發現,fad  hien+,發現,"佢偷拿東西，分人發現
重大个發現","他偷拿東西，被人發現。
重大的發現。",,動詞,名詞,4事物狀態與變化
4-9,發生,fad  senˋ,發生,"發生麼个事？
這上禮拜發生个","發生什麼事？
這是上星期發生的。",,動詞,,4事物狀態與變化
4-10,發展,fad zhanˊ,發展,阿哥个事業發展到十分好,哥哥的事業發展得十分好。,,動詞,,4事物狀態與變化
4-11,經過,ginˋgoˇ,經過,"經過恁多年，還係會想着該件事
該下有經過這條路，你記得無？","經過這麼多年，還是會想到那件事。
那時有經過這條路，你記得嗎？",,動詞,,4事物狀態與變化
4-12,改變,goiˊbienˇ,改變,"性體無法度改變
佢從頭擺到今，無麼个改變","脾氣沒辦法改變。
他從以前到現在，沒什麼改變。",,動詞,,4事物狀態與變化
4-13,該當,goiˋdongˋ,應該,㓾人該當愛判罪,殺人應該要判刑。,,副詞,,4事物狀態與變化
4-14,下,haˋ,下方；往下,"書桌下有兩隻球仔
日頭落山前，你一定愛下山","書桌下有兩顆球。
太陽下山前，你一定要下山。",,副詞,動詞,4事物狀態與變化
4-15,係,heˇ,是,佢係𠊎个同學,他是我的同學。,,動詞,,4事物狀態與變化
4-16,也係,rha+ heˇ,也是,"佢兩儕也係𠊎表个
恁樣講也係啦！","他們兩個也是我表親。
這麼說也是啦！",,虛詞,,4事物狀態與變化
4-17,應該,rhinˇgoiˋ,應該,"你應該愛聽爺哀个話
佢應該毋係這種人","你應該要聽父母的話。
他應該不是這種人。",,副詞,,4事物狀態與變化
4-18,引起,rhinˋhiˊ,引起,毋好搞火，係引起火燒屋，事情就大條咧,不要玩火，若引起房屋失火，事態就嚴重了。,,動詞,,4事物狀態與變化
4-19,可能,koˊ  nen,可能,無風無水，無可能放尞啦！,無風無雨，不可能放假啦！,,形容詞,,4事物狀態與變化
4-20,開始,koiˋ shiˊ/shi+,開始,"比賽開始！遽遽走！
正開始定定，你就想愛放忒？","比賽開始！快點跑！
才剛開始而已，你就想要放棄？",,動詞,,4事物狀態與變化
4-21,落,lauˇ,鬆脫下墜,"落下𪘒
落胎
褲落下來，屎朏走出出","下巴脫臼。
流產。
褲子掉下來，屁股露出來了。",,動詞,,4事物狀態與變化
4-22,漏,leu+,漏,"屋頂爛空，緊漏水
桶爛空，水漏淨淨。","屋頂破洞，一直漏雨。
桶子破洞，水漏光了。",,動詞,,4事物狀態與變化
4-23,留,liu,留,"這錢你自家留等，下擺總會用得着
留下來食晝好無？","這錢你自己留著，以後總會用得到。
留下來吃午餐好嗎？",,動詞,,4事物狀態與變化
4-24,毋係,m heˇ,不是,這毋係佢个，係𠊎个,這不是他的，是我的。,,動詞,,4事物狀態與變化
4-25,像,ciongˇ,像,佢兩子爺生來當像,他們父子倆長得很像。,,形容詞,,4事物狀態與變化
4-26,刺,ciug,刺,布仔忒賁，針刺毋落,布太厚，針刺不下去。,,動詞,,4事物狀態與變化
4-27,停,tin,停止,"佢一張嘴講無停，當吵
你就緊做，做毋得停下來","他一張嘴講不停，很吵。
你就一直做，不可以停下來。",,動詞,,4事物狀態與變化
4-28,會, voi+,會、曉得,"阿爸今晡日會轉來
佢會泅水","爸爸今天會回來。
他會游泳。",,動詞,,4事物狀態與變化
4-29,會,voi+,將要,天時會轉冷咧！愛著多兜仔！,天氣將要變冷了！要穿多一點！,,副詞,,4事物狀態與變化
4-30,死,siˊ  ,死,佢種个豆仔全部死忒咧,他種的豆子全部死掉了。,,動詞,,4事物狀態與變化
4-31,真,zhinˋ,真,你係講真个抑講假个？,你是說真的還是假的？,,形容詞,,4事物狀態與變化
5-1,矮,aiˊ,矮,"兜張矮凳仔來分𠊎坐
佢兩儕高矮差毋多","端一張矮凳來讓我坐。
他們兩人的身高高矮差不多。",,形容詞,,5抽象概念與形容
5-2,冰,benˋ,冰冷,你个手仰恁冰？,你的手怎麼那麼冰冷？,,形容詞,,5抽象概念與形容
5-3,差,caˋ,差、不好的,佢考試考差，心情毋好,他考試考差，心情不好。,,形容詞,,5抽象概念與形容
5-4,脆,ceˇ/cioiˇ,脆,醃瓜仔食起來當脆,醃黃瓜吃起來很脆。,,形容詞,,5抽象概念與形容
5-5,瘦,seuˇ,瘦,正餐毋食，歸隻人瘦夾夾仔,不吃正餐，整個人瘦巴巴。,,形容詞,,5抽象概念與形容
5-6,自由,cii+  rhiu,自由,隨在你！愛仰般係你个自由,隨便你！要怎麼做是你的自由。,,名詞,,5抽象概念與形容
5-7,自動,cii+ tung+,自動；主動,"這冷氣會自動關忒
看人無閒，愛自動𢯭手","這冷氣會自動關掉。
看到別人很忙碌，要主動幫忙。",,形容詞,,5抽象概念與形容
5-8,直,chidˋ,直 ,這條路直直行，就會到咧！,這條路直直走，就會到了！,,形容詞,,5抽象概念與形容
5-9,著,chogˋ,正確、對的,著抑毋著呢?,對還是不對？,,形容詞,,5抽象概念與形容
5-10,衰過,coiˋ goˇ,可憐,佢皮包仔毋見忒，又出車禍，實在還衰過,他的皮包不見了，又出車禍，實在真可憐。,,形容詞,,5抽象概念與形容
5-11,長, chong,長（形容空間或時間上的長度）,"頭那毛留到當長
這垤布有十尺長","頭髮留很長。
這匹布有十尺長。",,形容詞,,5抽象概念與形容
5-12,臭,chiuˇ,臭,這袋垃圾當臭,這袋垃圾很臭。,,形容詞,,5抽象概念與形容
5-13,粗,cuˋ,粗糙、不平滑,"阿姆个手摸起來粗粗
粗布仔","媽媽的手摸起來很粗糙。
粗布。",,形容詞,,5抽象概念與形容
5-14,重要,chung+ rhauˇ,重要,這一等重要，愛記下來,這非常重要，要記下來。,,形容詞,,5抽象概念與形容
5-15,重, chungˋ,重,佢个書包仔有兩公斤恁重,他的書包有兩公斤這麼重。,,形容詞,,5抽象概念與形容
5-16,低,daiˋ,低,這片褲腳較低，拉較高兜,這邊褲腳較低，拉高一點。,,形容詞,,5抽象概念與形容
5-17,恬,diamˋ,安靜,佢毋知仰般咧，今晡日當恬,他不知怎麼了，今天非常安靜。,,形容詞,,5抽象概念與形容
5-18,恬恬,diamˋdiamˋ,靜肅、沉默,人在該看電視，你恬恬莫講話,人家在看電視，你安靜不要說話。,,形容詞,,5抽象概念與形容
5-19,茄色(吊菜色),kio sed(diauˇcoiˇsed),紫色,茄色个葡萄,紫色的葡萄。,,名詞,,5抽象概念與形容
5-20,多,doˋ,多,阿哥食較多，老弟食較少,哥哥吃比較多，弟弟吃比較少。,,形容詞,,5抽象概念與形容
5-21,短,donˊ,短,"裙著恁短，敢毋會冷？
日仔恁短，一下仔就斷烏咧！","裙子穿那麼短，不會冷嗎？
白天那麼短，一下子就天黑了！",,形容詞,,5抽象概念與形容
5-22,佇毋著,duˇ m diau,受不了、無法承受,"這垃圾放忒久，臭到佇毋著
緊蹶樓梯，阿婆膝頭佇毋著","這垃圾放太久，臭到受不了。
一直爬樓梯，祖母膝蓋無法承受。",,形容詞,,5抽象概念與形容
5-23,肚屎枵,duˊ shiˊiauˋ,肚子餓,朝晨無食，有兜仔肚屎枵,早上沒吃飯，肚子有點餓。,,副詞,,5抽象概念與形容
5-24,東西,dungˋsiˋ,東西,"阿姊个東西一千擔
東西向个河壩","姊姊的東西很多。
東西向的河流。",,名詞,,5抽象概念與形容
5-25,闊,fad,寬,佢个屋當闊,他的房子很寬闊。,,形容詞,,5抽象概念與形容
5-26,發達,fad tadˋ,發達,這下醫學恁發達，定著無問題啦！,現在醫學那麼發達，一定沒問題啦！,,形容詞,,5抽象概念與形容
5-27,壞,faiˊ/fai+,壞,"水果壞淨淨
電視壞忒","水果全壞光。
電視壞掉。",,形容詞,,5抽象概念與形容
5-28,方法,fongˋfab,方法,這問題已大條，你有麼个方法？,這個問題很嚴重，你有什麼方法？,,名詞,,5抽象概念與形容
5-29,方便,fongˋ pien+,方便,有高鐵後，交通當方便,有高鐵後，交通很方便。,,形容詞,,5抽象概念與形容
5-30,方面,fongˋmienˇ,方面,佢係氣象方面个專家,他是氣象方面的專家。,,名詞,,5抽象概念與形容
5-31,赴着,fuˇdoˊ,趕上,好得有赴着這枋車，無就會慢到咧！,還好有趕上這班車，不然就會遲到了！,,動詞,,5抽象概念與形容
5-32,赴毋着,fuˇ m   doˊ,來不及、趕不上,赴毋着車枋，等下二枋車好咧！,趕不上這班車，等下一班車好了！,,動詞,,5抽象概念與形容
5-33,苦,fuˊ,味道苦,苦瓜食起來當苦,苦瓜吃起來很苦。,,形容詞,,5抽象概念與形容
5-34,紅,fung ,紅,紅色,紅色。,,形容詞,,5抽象概念與形容
5-35,假,gaˊ,假,這係假藥，會食壞人,這是假藥，會吃壞身體。,,形容詞,,5抽象概念與形容
5-36,柑色,gamˋsed,橙色,一領柑色个裌仔,一件橙色的背心。,,名詞,,5抽象概念與形容
5-37,遽,giag,快,"狗仔走當遽，你哪走得佢贏？
遽兜去讀書！毋好緊看電視。","狗跑得很快，你怎麼跑得贏牠？
快點去讀書！不要一直看電視。",,形容詞,,5抽象概念與形容
5-38,急,gib,急,時間還當多，你毋使急！,時間還很多，你不用著急！,,形容詞,,5抽象概念與形容
5-39,結果,gied goˊ,結果,昨晡日个面試，結果出來吂？,昨天的面試，結果出來了嗎？,,動詞,名詞,5抽象概念與形容
5-40,簡單,gienˊdanˋ,簡單,"這題目簡單到講毋得
這正經無恁簡單，你做得教𠊎無？","這題目簡單得不得了。
這真的沒那麼簡單，你可以教我嗎？",,形容詞,,5抽象概念與形容
5-41,金, gimˋ,亮,厥鞋捽到當金,他的鞋子擦得很亮。,,名詞,,5抽象概念與形容
5-42,金金,gimˋgimˋ,亮晶晶,"窗門日日捽到金金
這細人仔目珠金金，當得人惜","窗戶每天擦得亮晶晶。
這小孩眼睛亮晶晶，很可愛。",,形容詞,,5抽象概念與形容
5-43,高,goˋ,高,舊年還細細隻，佢今年高加已多,去年還很矮小，他今年長高很多。,,形容詞,,5抽象概念與形容
5-44,光,gongˋ,明亮,便所火光光，麼人無關忒？,廁所燈亮著，誰沒關？,,形容詞,,5抽象概念與形容
5-45,狹,habˋ,狹窄,這巷仔狹狹仔，斯一臺車仔過得,這條巷子很窄，只有一臺車能過。,,形容詞,,5抽象概念與形容
5-46,鹹,ham,鹹,豆油當鹹,醬油很鹹。,,形容詞,,5抽象概念與形容
5-47,閒,han,閒、不忙碌,歸日閒閒在屋下，毋知愛做麼个？,整天在家閒閒沒事，不知道要做什麼？,,形容詞,,5抽象概念與形容
5-48,緪,hen,緊,"䌈緪來正毋會㪐忒
這駁仔手頭較緪","綁緊來才不會脫落。
這陣子手頭較緊。",,形容詞,,5抽象概念與形容
5-49,後生,heu+  sangˋ,年輕,"𠊎先生還當後生
七後生八後生","我的老師還很年輕。
年紀輕輕地。",,形容詞,,5抽象概念與形容
5-50,形,hin  ,形狀、形體,這箱仔个形係四角形,這個箱子的形狀是四角形。,,名詞,,5抽象概念與形容
5-51,好,hoˊ,良好,佢在學校表現當好,他在學校表現很好。,,形容詞,,5抽象概念與形容
5-52,好食, hoˊ shidˋ,好吃,這粄仰會恁好食？,這粄怎麼會那麼好吃？,,形容詞,,5抽象概念與形容
5-53,好勢,hoˊsheˇ,妥當,"佢手板當遽，兩下半就做好勢咧！
裝到好勢好勢","他手腳很快，一下子就做好了！
處理得很妥當。",,形容詞,,5抽象概念與形容
5-54,好聽,hoˊtangˇ/tangˋ,好聽,這條歌仔當好聽,這首歌很好聽。,,形容詞,,5抽象概念與形容
5-55,意思,rhiˇsiiˇ,意思,"你這麼个意思？
這門親，看你意思仰般
這篇文章當有意思","你這什麼意思？
這門親事，看你的意思如何。
這篇文章很有意思。",,名詞,,5抽象概念與形容
5-56,贏,rhang,贏,"佢贏咧！你輸咧！
你恁重，麼人揹得贏","他贏了！你輸了！
你那麼重，誰背得動？",,動詞,,5抽象概念與形容
5-57,一息仔,rhid  sid er+,一點點,伸一息仔定定，你食忒佢好啦,剩一點點而已，你吃掉好了。,,副詞,,5抽象概念與形容
5-58,圓,rhan,圓,圓桌,圓桌。,,形容詞,,5抽象概念與形容
5-59,幼,rhiuˇ,細,"你个手恁幼，怕當好命
這條魚有幼骨，食該下愛注意","你的手那麼細嫩，也許很好命。
這隻魚有細骨，吃的時候要小心。",,形容詞,,5抽象概念與形容
5-60,有閒,rhiuˋ han,有空,有閒來尞！,有空來玩！,,副詞,,5抽象概念與形容
5-61,有用,rhiuˋ rhung+,有用、懂事,厥倈仔正經當有用,他的兒子真的很懂事。,,副詞,,5抽象概念與形容
5-62,有名,rhiuˋ miang,有名,這間店當有名,這間店很有名。,,形容詞,,5抽象概念與形容
5-63,尖,ziamˋ,擁擠、擠；尖銳,"車肚當尖，愛下車時尖都毋得出
過年去到哪都人尖人
刀仔尖尖，你斯愛擎好","車上很擁擠，要下車時擠到出不去。
過年去到哪裡都人擠人。
刀子很尖銳，你要拿好。",,形容詞,,5抽象概念與形容
5-64,靚,ziangˋ,漂亮,"佢个字寫到當靚
老妹生到已靚，當多人中意佢","他的字寫得很漂亮。
妹妹長得很漂亮，很多人喜歡她。",,形容詞,,5抽象概念與形容
5-65,精,zinˋ,聰明,這細人仔當精,這個小孩很聰明。,,形容詞,,5抽象概念與形容
5-66,奇怪,ki guaiˇ,奇怪,仰會有恁奇怪个事情？,怎麼會有這麼奇怪的事情？,,形容詞,,5抽象概念與形容
5-67,奇妙,ki miauˊ,奇妙,這發明實在當奇妙,這發明實在很奇妙？,,形容詞,,5抽象概念與形容
5-68,慶,kiangˇ,厲害、能幹,到到考頭名，實在還慶,次次考第一名，實在很厲害。,,形容詞,,5抽象概念與形容
5-69,輕, kiangˋ,輕,輕輕仔放，莫恁大力,輕輕地放，不要那麼大力。,,形容詞,,5抽象概念與形容
5-70,舊,kiu+,舊,佢當省，一雙鞋對新著到舊,他很節省，一雙鞋從新穿到舊。,,形容詞,,5抽象概念與形容
5-71,共樣,kiung+  rhong+,一樣,這兩隻杯仔看起來共樣共樣,這兩個杯子看起來一模一樣。,,形容詞,,5抽象概念與形容
5-72,困難,kunˇnan,困難,堵着困難，毋好恁會呻,遇到困難，不要那麼會抱怨。,,形容詞,名詞,5抽象概念與形容
5-73,罅,la+,足夠,蒜頭放一半就罅咧,蒜頭放一半就夠了。,,形容詞,,5抽象概念與形容
5-74,辣,ladˋ,辣,辣椒仔當辣,辣椒很辣。,,形容詞,,5抽象概念與形容
5-75,爛, lan+,破,"這麼个褲？一扯就爛忒
碗分佢打爛忒","這什麼褲子？一扯就破掉。
碗被他打破。",,動詞,,5抽象概念與形容
5-76,懶尸,nanˋshiˋ,懶惰,無做事，會緊尞緊懶尸,不工作，會越玩越懶惰。,,形容詞,,5抽象概念與形容
5-77,懶, nanˋ,懶,佢發病，歸日試着人懶懶,他生病，整天覺得懶洋洋的。,,形容詞,,5抽象概念與形容
5-78,冷,langˋ,冷、涼,"冷飯
冷水","冷飯。
冷水。",,形容詞,,5抽象概念與形容
5-79,厲害,li+ hoi+,厲害,"你仰會恁厲害？
水果个價數起到當厲害","你怎麼會這麼厲害？
水果的價格漲得很厲害。",,形容詞,,5抽象概念與形容
5-80,涼,liong,涼,外背當涼，做得去禾埕坐尞,外面很涼，可以去院子坐著聊天。,,形容詞,,5抽象概念與形容
5-81,老,loˊ,舊的；年紀大的、年長的,"佢个老屋分阿公賣忒
厥爸當老咧正降着佢一個倈仔","他的老家被爺爺賣掉。
他爸爸年紀很大了才生了他這麼一個兒子。",,形容詞,,5抽象概念與形容
5-82,老實,loˊshidˋ,老實；誠實,"佢人當老實，你做得相信佢
老實摎你講，𠊎當惱佢","他做人很老實，你可以相信他。
跟你說實話，我很討厭他。",,形容詞,,5抽象概念與形容
5-83,灰色（老鼠色、火灰色）,foiˋsed(loˊ chuˊ sed、foˊfoiˋsed) ,灰色,象个色係灰色,大象的顏色是灰色。,,名詞,,5抽象概念與形容
5-84,毋著,m chogˋ,不對、不正確,這字寫毋著咧！,這字寫錯了！,,形容詞,,5抽象概念與形容
5-85,毋好,m hoˊ,不好；不可以、不要,愛摎人好好尞，毋好冤家,要跟人好好相處，不要吵架。,,形容詞,,5抽象概念與形容
